xx yy kga030.w01	xx yy kga030.w02	xx yy kga030.w03	xx yy kga030.w04	xx yy kga030.w05	xx yy kga030.w06	xx yy kga030.w07	xx yy kga030.w08	xx yy kga030.w09
24 37 +1.000e-18	38 37 +1.000e-18	37 36 +1.000e-18	24 38 +1.000e-18	36 37 +1.000e-18	39 37 +1.000e-18	26 38 +1.000e-18	28 39 +1.000e-18	36 38 +1.000e-18
25 37 +1.000e-18	39 37 +1.000e-18	38 36 +1.000e-18	25 38 +1.000e-18	37 37 +1.000e-18	24 38 +1.000e-18	27 38 +1.000e-18	32 39 +1.000e-18	38 38 +1.000e-18
31 37 +1.000e-18	24 38 +1.000e-18	24 37 +1.000e-18	26 38 +1.000e-18	38 37 +1.000e-18	28 38 +1.000e-18	32 38 +1.000e-18	33 39 +1.000e-18	24 39 +1.000e-18
32 37 +1.000e-18	28 38 +1.000e-18	29 37 +1.000e-18	27 38 +1.000e-18	39 37 +1.000e-18	33 38 +1.000e-18	33 38 +1.000e-18	35 39 +1.000e-18	34 39 +1.000e-18
35 37 +1.000e-18	33 38 +1.000e-18	34 37 +1.000e-18	31 38 +1.000e-18	24 38 +1.000e-18	37 38 +1.000e-18	35 38 +1.000e-18	38 39 +1.000e-18	35 39 +1.000e-18
36 37 +1.000e-18	34 38 +1.000e-18	37 37 +1.000e-18	35 38 +1.000e-18	28 38 +1.000e-18	38 38 +1.000e-18	38 38 +1.000e-18	25 40 +1.000e-18	36 39 +1.000e-18
38 37 +1.000e-18	36 38 +1.000e-18	39 37 +1.000e-18	37 38 +1.000e-18	33 38 +1.000e-18	24 39 +1.000e-18	24 39 +1.000e-18	27 40 +1.000e-18	37 39 +1.000e-18
39 37 +1.000e-18	37 38 +1.000e-18	31 38 +1.000e-18	38 38 +1.000e-18	35 38 +1.000e-18	26 39 +1.000e-18	25 39 +1.000e-18	28 40 +1.000e-18	38 39 +1.000e-18
24 38 +1.000e-18	38 38 +1.000e-18	33 38 +1.000e-18	24 39 +1.000e-18	38 38 +1.000e-18	27 39 +1.000e-18	26 39 +1.000e-18	29 40 +1.000e-18	27 40 +1.000e-18
25 38 +1.000e-18	24 39 +1.000e-18	36 38 +1.000e-18	25 39 +1.000e-18	24 39 +1.000e-18	28 39 +1.000e-18	27 39 +1.000e-18	30 40 +1.000e-18	28 40 +1.000e-18
28 38 +1.000e-18	25 39 +1.000e-18	37 38 +1.000e-18	27 39 +1.000e-18	25 39 +1.000e-18	31 39 +1.000e-18	28 39 +1.000e-18	32 40 +1.000e-18	29 40 +1.000e-18
32 38 +1.000e-18	26 39 +1.000e-18	38 38 +1.000e-18	29 39 +1.000e-18	27 39 +1.000e-18	35 39 +1.000e-18	29 39 +1.000e-18	33 40 +1.000e-18	31 40 +1.000e-18
35 38 +1.000e-18	36 39 +1.000e-18	24 39 +1.000e-18	32 39 +1.000e-18	28 39 +1.000e-18	37 39 +1.000e-18	32 39 +1.000e-18	34 40 +1.000e-18	34 40 +1.000e-18
36 38 +1.000e-18	37 39 +1.000e-18	28 39 +1.000e-18	35 39 +1.000e-18	29 39 +1.000e-18	38 39 +1.000e-18	37 39 +1.000e-18	35 40 +1.000e-18	35 40 +1.000e-18
38 38 +1.000e-18	38 39 +1.000e-18	31 39 +1.000e-18	37 39 +1.000e-18	32 39 +1.000e-18	25 40 +1.000e-18	38 39 +1.000e-18	36 40 +1.000e-18	36 40 +1.000e-18
24 39 +1.000e-18	25 40 +1.000e-18	32 39 +1.000e-18	38 39 +1.000e-18	35 39 +1.000e-18	26 40 +1.000e-18	25 40 +1.000e-18	37 40 +1.000e-18	37 40 +1.000e-18
27 39 +1.000e-18	32 40 +1.000e-18	34 39 +1.000e-18	25 40 +1.000e-18	36 39 +1.000e-18	29 40 +1.000e-18	26 40 +1.000e-18	38 40 +1.000e-18	38 40 +1.000e-18
35 39 +1.000e-18	35 40 +1.000e-18	35 39 +1.000e-18	26 40 +1.000e-18	38 39 +1.000e-18	30 40 +1.000e-18	27 40 +1.000e-18	26 41 +1.000e-18	25 41 +1.000e-18
36 39 +1.000e-18	37 40 +1.000e-18	37 39 +1.000e-18	27 40 +1.000e-18	25 40 +1.000e-18	33 40 +1.000e-18	28 40 +1.000e-18	27 41 +1.000e-18	27 41 +1.000e-18
37 39 +1.000e-18	38 40 +1.000e-18	38 39 +1.000e-18	28 40 +1.000e-18	27 40 +1.000e-18	34 40 +1.000e-18	29 40 +1.000e-18	28 41 +1.000e-18	28 41 +1.000e-18
38 39 +1.000e-18	25 41 +1.000e-18	29 40 +1.000e-18	29 40 +1.000e-18	29 40 +1.000e-18	35 40 +1.000e-18	30 40 +1.000e-18	29 41 +1.000e-18	29 41 +1.000e-18
28 40 +1.000e-18	26 41 +1.000e-18	30 40 +1.000e-18	34 40 +1.000e-18	30 40 +1.000e-18	36 40 +1.000e-18	33 40 +1.000e-18	30 41 +1.000e-18	30 41 +1.000e-18
30 40 +1.000e-18	27 41 +1.000e-18	31 40 +1.000e-18	35 40 +1.000e-18	35 40 +1.000e-18	37 40 +1.000e-18	35 40 +1.000e-18	31 41 +1.000e-18	32 41 +1.000e-18
33 40 +1.000e-18	29 41 +1.000e-18	34 40 +1.000e-18	37 40 +1.000e-18	38 40 +1.000e-18	38 40 +1.000e-18	37 40 +1.000e-18	32 41 +1.000e-18	33 41 +1.000e-18
35 40 +1.000e-18	30 41 +1.000e-18	35 40 +1.000e-18	38 40 +1.000e-18	25 41 +1.000e-18	25 41 +1.000e-18	38 40 +1.000e-18	33 41 +1.000e-18	34 41 +1.000e-18
37 40 +1.000e-18	33 41 +1.000e-18	36 40 +1.000e-18	29 41 +1.000e-18	26 41 +1.000e-18	26 41 +1.000e-18	26 41 +1.000e-18	34 41 +1.000e-18	36 41 +1.000e-18
38 40 +1.000e-18	34 41 +1.000e-18	37 40 +1.000e-18	30 41 +1.000e-18	29 41 +1.000e-18	28 41 +1.000e-18	28 41 +1.000e-18	35 41 +1.000e-18	37 41 +1.000e-18
25 41 +1.000e-18	36 41 +1.000e-18	38 40 +1.000e-18	32 41 +1.000e-18	33 41 +1.000e-18	31 41 +1.000e-18	29 41 +1.000e-18	26 42 +1.000e-18	26 42 +1.000e-18
27 41 +1.000e-18	37 41 +1.000e-18	25 41 +1.000e-18	34 41 +1.000e-18	34 41 +1.000e-18	33 41 +1.000e-18	30 41 +1.000e-18	27 42 +1.000e-18	27 42 +1.000e-18
31 41 +1.000e-18	26 42 +1.000e-18	28 41 +1.000e-18	37 41 +1.000e-18	35 41 +1.000e-18	34 41 +1.000e-18	37 41 +1.000e-18	28 42 +1.000e-18	28 42 +1.000e-18
35 41 +1.000e-18	27 42 +1.000e-18	30 41 +1.000e-18	27 42 +1.000e-18	36 41 +1.000e-18	35 41 +1.000e-18	26 42 +1.000e-18	29 42 +1.000e-18	29 42 +1.000e-18
37 41 +1.000e-18	31 42 +1.000e-18	33 41 +1.000e-18	28 42 +1.000e-18	37 41 +1.000e-18	36 41 +1.000e-18	27 42 +1.000e-18	30 42 +1.000e-18	30 42 +1.000e-18
26 42 +1.000e-18	32 42 +1.000e-18	34 41 +1.000e-18	29 42 +1.000e-18	26 42 +1.000e-18	37 41 +1.000e-18	29 42 +1.000e-18	31 42 +1.000e-18	31 42 +1.000e-18
28 42 +1.000e-18	34 42 +1.000e-18	37 41 +1.000e-18	30 42 +1.000e-18	31 42 +1.000e-18	26 42 +1.000e-18	30 42 +1.000e-18	32 42 +1.000e-18	33 42 +1.000e-18
32 42 +1.000e-18	35 42 +1.000e-18	26 42 +1.000e-18	31 42 +1.000e-18	33 42 +1.000e-18	27 42 +1.000e-18	31 42 +1.000e-18	34 42 +1.000e-18	35 42 +1.000e-18
33 42 +1.000e-18	36 42 +1.000e-18	30 42 +1.000e-18	35 42 +1.000e-18	36 42 +1.000e-18	30 42 +1.000e-18	33 42 +1.000e-18	35 42 +1.000e-18	36 42 +1.000e-18
36 42 +1.000e-18	28 43 +1.000e-18	34 42 +1.000e-18	36 42 +1.000e-18	28 43 +1.000e-18	36 42 +1.000e-18	34 42 +1.000e-18	36 42 +1.000e-18	28 43 +1.000e-18
28 43 +1.000e-18	29 43 +1.000e-18	35 42 +1.000e-18	28 43 +1.000e-18	29 43 +1.000e-18	28 43 +1.000e-18	36 42 +1.000e-18	29 43 +1.000e-18	29 43 +1.000e-18
29 43 +1.000e-18	30 43 +1.000e-18	36 42 +1.000e-18	29 43 +1.000e-18	30 43 +1.000e-18	30 43 +1.000e-18	30 43 +1.000e-18	30 43 +1.000e-18	30 43 +1.000e-18
30 43 +1.000e-18	31 43 +1.000e-18	28 43 +1.000e-18	30 43 +1.000e-18	31 43 +1.000e-18	31 43 +1.000e-18	31 43 +1.000e-18	31 43 +1.000e-18	31 43 +1.000e-18
32 43 +1.000e-18	32 43 +1.000e-18	29 43 +1.000e-18	31 43 +1.000e-18	32 43 +1.000e-18	32 43 +1.000e-18	32 43 +1.000e-18	32 43 +1.000e-18	32 43 +1.000e-18
33 43 +1.000e-18	33 43 +1.000e-18	31 43 +1.000e-18	32 43 +1.000e-18	33 43 +1.000e-18	33 43 +1.000e-18	33 43 +1.000e-18	33 43 +1.000e-18	33 43 +1.000e-18
34 43 +1.000e-18	34 43 +1.000e-18	32 43 +1.000e-18	34 43 +1.000e-18	34 43 +1.000e-18	34 43 +1.000e-18	34 43 +1.000e-18	34 43 +1.000e-18	34 43 +1.000e-18
35 43 +1.000e-18	35 43 +1.000e-18	35 43 +1.000e-18	35 43 +1.000e-18	35 43 +1.000e-18	35 43 +1.000e-18	35 43 +1.000e-18	35 43 +1.000e-18	35 43 +1.000e-18
30 44 +1.000e-18	30 44 +1.000e-18	30 44 +1.000e-18	30 44 +1.000e-18	30 44 +1.000e-18	30 44 +1.000e-18	30 44 +1.000e-18	30 44 +1.000e-18	30 44 +1.000e-18
31 44 +1.000e-18	31 44 +1.000e-18	31 44 +1.000e-18	31 44 +1.000e-18	31 44 +1.000e-18	31 44 +1.000e-18	31 44 +1.000e-18	31 44 +1.000e-18	31 44 +1.000e-18
32 44 +1.000e-18	32 44 +1.000e-18	32 44 +1.000e-18	32 44 +1.000e-18	32 44 +1.000e-18	32 44 +1.000e-18	32 44 +1.000e-18	32 44 +1.000e-18	32 44 +1.000e-18
